v,x,y,yaw,s,km,kf
3,15.023882123989,14.9678976456149,-0.80889319471546,25.1402970156001,0.091898510608699,-0.542228823509443
3,20.032592127328,14.9558424402034,-0.793535914431173,28.2877059781189,0.067150877105217,-0.424285854583014
3,24.9432573808073,15.0155520610319,-0.781045589087062,32.0187956803707,0.05035792001738,-0.336727169461443
3,5.0004371021454,19.9981694842765,-0.783131507312592,31.350910949971,0.122986394917932,-0.614728452034817
3,10.0587398002005,19.9405741591053,-0.83666274139928,30.2724865831251,0.107127168758416,-0.564496312592204
3,15.0602391190831,19.9389892704358,-0.829328022241253,31.2976068985665,0.086983595178869,-0.489464054493784
3,19.9752049077725,19.956209393055,-0.798247245513151,33.5684043784551,0.06878554044845,-0.412804811800576
3,25.0458004529705,19.9504838003196,-0.807775279582902,36.6819989546604,0.054219343851277,-0.342062459100892
3,4.9309398069423,25.0441272903977,-0.746680992530874,39.8763245997254,0.100536813198915,-0.495612138301805
3,10.0365033417816,25.060948946039,-0.729082305943718,37.9542146154157,0.091718938510591,-0.471699327260604
3,14.9853216610121,25.014682655233,-0.776070270097041,38.0367250333445,0.079960603226097,-0.426720836182026
3,19.9322218912609,25.0238036123966,-0.766530007227073,39.5393868231678,0.066887376880502,-0.378487884580066
3,25.0130660913369,24.9756271192166,-0.77338576923131,41.8894451446936,0.055346658980233,-0.326644119855246
3,5.00836299386383,-30.0072043812253,-0.516514295711192,43.0281207465349,-0.095645818844271,0.304753598730743
3,10.0166298889499,-30.0091285332115,-0.516592327265017,41.5681776351449,-0.088341697453565,0.279607029933382
3,20.0665801369811,-29.9960226221945,-0.518689497578669,42.5456253550157,-0.068445431659979,0.201288440565162
3,25.0640817073652,-30.0312656595044,-0.512272369414768,44.5032812689359,-0.058562283238684,0.164929898567309
3,5.01383978590931,-24.9505317946781,-0.498729982520434,35.4700921366515,-0.113353610887905,0.362594953316378
3,10.0739531329954,-25.0396233399835,-0.497119320678225,34.4780731641652,-0.101694046639039,0.316164470174432
3,14.9885538629233,-24.9665463232711,-0.533590140016788,34.8199434789145,-0.087807667362862,0.254383997102218
3,20.0928886281894,-25.000112905548,-0.512440655210012,36.7008698587909,-0.072496279193947,0.205590888675741
3,24.9184273327845,-24.9533819561548,-0.538170199849804,39.1589770021213,-0.059884144623299,0.158270353244204
3,5.02336986635643,-19.9939722300501,-0.500705631665421,28.1221586850865,-0.137967059506933,0.439084834882973
3,9.97862190636298,-20.0496739654856,-0.504473768063253,27.7756856788213,-0.117859885533551,0.364285420104818
3,15.0229863164098,-19.9771907346734,-0.525365901333688,28.9943142083726,-0.094860645781333,0.274548966614871
3,19.9687610464779,-19.9650375690848,-0.533645064979021,31.3885829474806,-0.07463626127629,0.199429466690543
3,24.9873227572077,-19.9811824011903,-0.526999264624174,34.5321649155634,-0.058458547707238,0.14293780675261
3,10.0193093559907,-15.023020451174,-0.507756353612278,21.387506818591,-0.136051834077798,0.406410848098375
3,14.9972018392566,-14.9887634048302,-0.526656785409936,23.4895755967205,-0.099864057542324,0.263081162321156
3,19.9088491594952,-15.0074068917557,-0.497510007560292,26.7689589282623,-0.072294282163361,0.180171870218827
3,24.9041154958037,-14.9851080280252,-0.512127534524648,30.5662923770866,-0.053227135258275,0.113846467750333
3,5.0072946783324,-10.02708594572,-0.510081336869488,13.958024429654,-0.232428357497388,0.697433137007702
3,10.0258291639766,-10.0111753701375,-0.510644780496742,15.7493437865635,-0.14865159486144,0.403401738417746
3,15.0300330803636,-10.0145894233705,-0.516610786418388,19.1103766684929,-0.092486999034966,0.208210908246349
3,19.9501013977229,-9.98238379523108,-0.514065590932687,23.1626013864013,-0.060406182218589,0.110313272337964
3,24.9213548408123,-9.96016125106925,-0.519480473771467,27.558041597152,-0.041680103563669,0.054349557390231
3,5.05423746474987,-5.02886903523975,-0.465268176460479,7.90450323181682,-0.293151746821379,0.782981840819273
3,9.96157791530968,-4.97500374888133,-0.532437080219524,11.4462049326763,-0.122742017859946,0.206699197063966
3,15.0276511294138,-5.01548292717732,-0.521917624394952,16.1364397909615,-0.060836703111803,0.050132926333012
3,20.0470630783576,-5.02659179075657,-0.523980382314002,20.9287343131124,-0.035802155440435,-0.007027254066673
3,24.9703962883739,-4.98681433387741,-0.523357601899786,25.6675924694015,-0.02335111205214,-0.028693826070428
3,4.96253626008256,0.013796207989613,-0.497814845841528,4.89951299269653,-0.003062081031212,-0.561408457294108
3,15.0310605546369,-0.025091577501669,-0.539410551430297,15.1313135343678,-0.001373729360838,-0.209296771126214
3,19.9810591234097,0.000645350455426,-0.524713748852597,20.1896645309689,-0.000836968461616,-0.156039557242596
3,24.9325677187925,0.037735776186797,-0.514233413671308,25.1149951206155,-0.000191474083626,-0.122185668558779
3,9.93055228144791,5.01811442475599,-0.465935512351501,11.6837361536964,0.120361797397524,-0.667815800232269
3,14.9647065966203,5.01902265991691,-0.524461033970352,16.2069406034567,0.060393484885451,-0.410074354323157
3,19.9919348121724,4.99882110101195,-0.522019396526109,21.195312239437,0.033861093599295,-0.287401178453722
3,25.08490506936,4.95217204667802,-0.544697306904927,26.0028456031159,0.022491966869124,-0.209405730682928
